alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,features.14.weight,0.9997081659152248
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,features.16.weight,0.9995111697023686
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,features.4.weight,0.99986135350661
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,features.6.weight,0.9998150302397555
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.2.weight,features.8.weight,0.9998016461398083
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.4.weight,classifier.weight,0.999018585680434
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.4.weight,features.0.weight,0.9997248389729948
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.4.weight,features.10.weight,0.9998440220080661
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.4.weight,features.12.weight,0.9998189560943699
2.0,3.0,alpha_2.0_g_3.0,4,spearman,features.4.weight,features.14.weight,0.9997609626841956
