alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,features.2.weight,0.9906841188216697
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,features.4.weight,0.9908259869805465
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,features.6.weight,0.9922547499316415
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.12.weight,features.8.weight,0.9947294289674836
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,classifier.weight,0.9801624941217566
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,features.0.weight,0.9728432540988444
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,features.10.weight,0.9885908092282586
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,features.12.weight,0.9961757170658782
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,features.14.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,features.16.weight,0.9951043215987742
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,features.2.weight,0.9752395764390823
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,features.4.weight,0.9754300491629257
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,features.6.weight,0.9777917212572894
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.14.weight,features.8.weight,0.9820948506970114
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,classifier.weight,0.9948374927074026
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,features.0.weight,0.9456199797793094
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,features.10.weight,0.9690284182821439
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,features.12.weight,0.9827952325509054
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,features.14.weight,0.9951043215987742
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,features.2.weight,0.9489463853045164
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,features.4.weight,0.9491897242722992
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,features.6.weight,0.952548062917408
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.16.weight,features.8.weight,0.9588620001512195
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,classifier.weight,0.9130956991117456
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,features.0.weight,0.9997690284146771
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,features.10.weight,0.9972493155813951
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,features.12.weight,0.9906841188216697
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,features.14.weight,0.9752395764390823
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,features.16.weight,0.9489463853045164
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,features.4.weight,0.9998754976239488
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,features.6.weight,0.9997594672393216
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.2.weight,features.8.weight,0.9992757953765169
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,classifier.weight,0.9133678279470158
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,features.0.weight,0.9996740481488441
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,features.10.weight,0.9973529828443397
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,features.12.weight,0.9908259869805465
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,features.14.weight,0.9754300491629257
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,features.16.weight,0.9491897242722992
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,features.2.weight,0.9998754976239488
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,features.4.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,features.6.weight,0.999857915401325
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.4.weight,features.8.weight,0.9993660693805366
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,classifier.weight,0.9176624490828665
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,features.0.weight,0.9994722724096936
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,features.10.weight,0.9981027576351627
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,features.12.weight,0.9922547499316415
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,features.14.weight,0.9777917212572894
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,features.16.weight,0.952548062917408
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,features.2.weight,0.9997594672393216
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,features.4.weight,0.999857915401325
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,features.6.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.6.weight,features.8.weight,0.9997053168311432
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,classifier.weight,0.9259234758478667
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,features.0.weight,0.9987795227613881
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,features.10.weight,0.9992155892483768
