alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.6.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.8.weight,0.9994786749012453
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,classifier.weight,0.9826899398118143
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.0.weight,0.9995311333555816
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.10.weight,0.9988880513729125
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.12.weight,0.9957212972319939
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.14.weight,0.991686822984478
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.16.weight,0.9875874675981563
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.2.weight,0.9981308456484245
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.4.weight,0.9985966115653773
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.6.weight,0.9994786749012453
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.8.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,features.0.weight,0.9779063590438541
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,features.10.weight,0.989071105612934
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,features.12.weight,0.9948542877429599
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,features.14.weight,0.9980597674226782
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,features.16.weight,0.9995105664713292
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,features.2.weight,0.9688192452688386
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,features.4.weight,0.9701542418047021
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,features.6.weight,0.9747322144800676
2.0,3.0,alpha_2.0_g_3.0,3,dcor,classifier.weight,features.8.weight,0.9811371399229567
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,classifier.weight,0.9779063590438541
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,features.10.weight,0.9977463121938179
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,features.12.weight,0.9937928442772221
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,features.14.weight,0.9889051027785941
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,features.16.weight,0.9839495424028015
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,features.2.weight,0.9991873328386642
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,features.4.weight,0.9993042193459795
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,features.6.weight,0.9997232317518879
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.0.weight,features.8.weight,0.9996038656506294
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,classifier.weight,0.989071105612934
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,features.0.weight,0.9977463121938179
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,features.12.weight,0.9989209954575952
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,features.14.weight,0.9963458629142757
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,features.16.weight,0.9932145775322901
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,features.2.weight,0.994657547625035
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,features.4.weight,0.9952832277139886
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,features.6.weight,0.9970060359341498
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.10.weight,features.8.weight,0.9989182836185885
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,classifier.weight,0.9948542877429599
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,features.0.weight,0.9937928442772221
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,features.10.weight,0.9989209954575952
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,features.14.weight,0.9992346451546164
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,features.16.weight,0.9975389375054303
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,features.2.weight,0.9888496314013957
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,features.4.weight,0.9897190764423184
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,features.6.weight,0.9923464140899256
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.12.weight,features.8.weight,0.9956820470174249
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,classifier.weight,0.9980597674226782
