init_alpha,init_sigma,epoch,layer,alpha,frobenius
1.2,3.0,250,features.4.weight,1.1998836,398.82135
1.2,3.0,250,features.6.weight,1.1969086,860.38684
1.2,3.0,250,features.8.weight,1.209709,870.16187
1.2,3.0,250,features.10.weight,1.192035,415.91562
1.2,3.0,250,features.12.weight,1.2049737,815.7028
1.2,3.0,250,features.14.weight,1.1956335,9860.779
1.2,3.0,250,features.16.weight,1.2281697,524.92065
1.2,3.0,250,classifier.weight,1.429226,40.445396
1.2,3.0,400,features.0.weight,1.2043333,350.41998
1.2,3.0,400,features.2.weight,1.2101734,258.18964
1.2,3.0,400,features.4.weight,1.1998913,398.82138
1.2,3.0,400,features.6.weight,1.1969137,860.38684
1.2,3.0,400,features.8.weight,1.2097292,870.1619
1.2,3.0,400,features.10.weight,1.1920387,415.91568
1.2,3.0,400,features.12.weight,1.2049594,815.7028
1.2,3.0,400,features.14.weight,1.1956203,9860.779
1.2,3.0,400,features.16.weight,1.228139,524.9208
1.2,3.0,400,classifier.weight,1.4426653,40.452126
1.2,3.0,650,features.0.weight,1.2060864,350.88065
1.2,3.0,650,features.2.weight,1.2064304,258.4354
1.2,3.0,650,features.4.weight,1.1971673,398.60922
1.2,3.0,650,features.6.weight,1.1995016,860.41675
1.2,3.0,650,features.8.weight,1.2125645,870.8392
1.2,3.0,650,features.10.weight,1.1895916,415.5816
1.2,3.0,650,features.12.weight,1.2036598,814.2391
1.2,3.0,650,features.14.weight,1.1983894,9842.221
1.2,3.0,650,features.16.weight,1.2257568,524.0203
1.2,3.0,650,classifier.weight,1.4384027,40.483562
2.0,1.0,30,features.0.weight,9.040646,28.014112
2.0,1.0,30,features.2.weight,8.946008,27.995287
2.0,1.0,30,features.4.weight,9.211523,28.048481
2.0,1.0,30,features.6.weight,9.361819,28.021091
2.0,1.0,30,features.8.weight,8.865967,28.032192
2.0,1.0,30,features.10.weight,9.018849,28.000217
