alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.16.weight,features.8.weight,0.9904522015923559
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,classifier.weight,0.9716399878400062
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.0.weight,0.9998984104874445
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.10.weight,0.9995328843444046
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.12.weight,0.9986149715302037
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.14.weight,0.9960014295607842
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.16.weight,0.9890339946463343
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.4.weight,0.9999235615855988
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.6.weight,0.9998883086852056
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.2.weight,features.8.weight,0.9997977227959022
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,classifier.weight,0.9716194428736247
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.0.weight,0.9998330118790083
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.10.weight,0.999601334230016
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.12.weight,0.9986915179559079
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.14.weight,0.9960700522704434
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.16.weight,0.9890833743875093
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.2.weight,0.9999235615855988
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.4.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.6.weight,0.9999431684284041
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.4.weight,features.8.weight,0.9998623991734946
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,classifier.weight,0.972151106794317
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.0.weight,0.9997941107467946
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.10.weight,0.9997127082788674
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.12.weight,0.9988653987544789
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.14.weight,0.9963391444977986
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.16.weight,0.989471319120376
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.2.weight,0.9998883086852056
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.4.weight,0.9999431684284041
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.6.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.6.weight,features.8.weight,0.9999293907723008
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,classifier.weight,0.973673358836242
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.0.weight,0.9996762701651959
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.10.weight,0.9998811267852818
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.12.weight,0.9992160460612576
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.14.weight,0.9969476771148775
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.16.weight,0.9904522015923559
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.2.weight,0.9997977227959022
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.4.weight,0.9998623991734946
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.6.weight,0.9999293907723008
2.0,3.0,alpha_2.0_g_3.0,2,dcor,features.8.weight,features.8.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,features.0.weight,0.952268437372436
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,features.10.weight,0.9639198076752047
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,features.12.weight,0.9746019166252458
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,features.14.weight,0.9862271016946961
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,features.16.weight,0.9959471972612672
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,features.2.weight,0.9519616302500209
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,features.4.weight,0.9517992918815013
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,features.6.weight,0.9530609374990267
2.0,3.0,alpha_2.0_g_3.0,4,dcor,classifier.weight,features.8.weight,0.9569986801295087
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,classifier.weight,0.952268437372436
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,features.10.weight,0.9987847037191677
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,features.12.weight,0.9960305271830453
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,features.14.weight,0.9892957206612277
