Logging initialized in: runs_symlink/mnist_mlp_sweep/alpha_1.2_g_3.0/GeneralMLP_LR0.001_BS1024_20260501_230859_s9
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=3.0)
Applying HT Init: alpha=1.2, g=3.0, seed=9
Epoch 233 | Train Acc: 0.9997 | Test Acc: 0.9292
Epoch 234 | Train Acc: 0.9997 | Test Acc: 0.9292
Epoch 235 | Train Acc: 0.9997 | Test Acc: 0.9289
Epoch 236 | Train Acc: 0.9997 | Test Acc: 0.9292
Epoch 237 | Train Acc: 0.9997 | Test Acc: 0.9288
Epoch 238 | Train Acc: 0.9997 | Test Acc: 0.9292
Epoch 239 | Train Acc: 0.9998 | Test Acc: 0.9290
Epoch 240 | Train Acc: 0.9998 | Test Acc: 0.9292
Epoch 241 | Train Acc: 0.9998 | Test Acc: 0.9296
Epoch 242 | Train Acc: 0.9998 | Test Acc: 0.9294
Epoch 243 | Train Acc: 0.9998 | Test Acc: 0.9294
Epoch 244 | Train Acc: 0.9998 | Test Acc: 0.9294
Epoch 245 | Train Acc: 0.9998 | Test Acc: 0.9289
Epoch 246 | Train Acc: 0.9998 | Test Acc: 0.9288
Epoch 247 | Train Acc: 0.9998 | Test Acc: 0.9290
Epoch 248 | Train Acc: 0.9998 | Test Acc: 0.9290
Epoch 249 | Train Acc: 0.9998 | Test Acc: 0.9291
Epoch 250 | Train Acc: 0.9998 | Test Acc: 0.9289
Epoch 251 | Train Acc: 0.9998 | Test Acc: 0.9290
Epoch 252 | Train Acc: 0.9998 | Test Acc: 0.9291
Epoch 253 | Train Acc: 0.9998 | Test Acc: 0.9290
Epoch 254 | Train Acc: 0.9998 | Test Acc: 0.9292
Epoch 255 | Train Acc: 0.9998 | Test Acc: 0.9287
Epoch 256 | Train Acc: 0.9998 | Test Acc: 0.9290
Epoch 257 | Train Acc: 0.9998 | Test Acc: 0.9284
Epoch 258 | Train Acc: 0.9998 | Test Acc: 0.9291
Epoch 259 | Train Acc: 0.9998 | Test Acc: 0.9294
Epoch 260 | Train Acc: 0.9998 | Test Acc: 0.9294
Epoch 261 | Train Acc: 0.9998 | Test Acc: 0.9295
Epoch 262 | Train Acc: 0.9998 | Test Acc: 0.9293
Epoch 263 | Train Acc: 0.9998 | Test Acc: 0.9295
Epoch 264 | Train Acc: 0.9998 | Test Acc: 0.9296
Epoch 265 | Train Acc: 0.9998 | Test Acc: 0.9298
Epoch 266 | Train Acc: 0.9998 | Test Acc: 0.9293
Epoch 267 | Train Acc: 0.9998 | Test Acc: 0.9293
Epoch 268 | Train Acc: 0.9998 | Test Acc: 0.9293
Epoch 269 | Train Acc: 0.9998 | Test Acc: 0.9289
Epoch 270 | Train Acc: 0.9998 | Test Acc: 0.9295
Epoch 271 | Train Acc: 0.9998 | Test Acc: 0.9292
Epoch 272 | Train Acc: 0.9998 | Test Acc: 0.9295
Epoch 273 | Train Acc: 0.9998 | Test Acc: 0.9295
Epoch 274 | Train Acc: 0.9998 | Test Acc: 0.9295
Epoch 275 | Train Acc: 0.9998 | Test Acc: 0.9296
Epoch 276 | Train Acc: 0.9998 | Test Acc: 0.9296
Epoch 277 | Train Acc: 0.9998 | Test Acc: 0.9296
Epoch 278 | Train Acc: 0.9998 | Test Acc: 0.9295
Epoch 279 | Train Acc: 0.9998 | Test Acc: 0.9294
Epoch 280 | Train Acc: 0.9998 | Test Acc: 0.9296
Epoch 281 | Train Acc: 0.9998 | Test Acc: 0.9296
Epoch 282 | Train Acc: 0.9998 | Test Acc: 0.9297
Epoch 283 | Train Acc: 0.9998 | Test Acc: 0.9292
Epoch 284 | Train Acc: 0.9998 | Test Acc: 0.9296
Epoch 285 | Train Acc: 0.9999 | Test Acc: 0.9298
Epoch 286 | Train Acc: 0.9999 | Test Acc: 0.9292
Epoch 287 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 288 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 289 | Train Acc: 0.9999 | Test Acc: 0.9292
Epoch 290 | Train Acc: 0.9999 | Test Acc: 0.9293
Epoch 291 | Train Acc: 0.9999 | Test Acc: 0.9292
Epoch 292 | Train Acc: 0.9999 | Test Acc: 0.9289
Epoch 293 | Train Acc: 0.9999 | Test Acc: 0.9290
Epoch 294 | Train Acc: 0.9999 | Test Acc: 0.9292
Epoch 295 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 296 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 297 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 298 | Train Acc: 0.9999 | Test Acc: 0.9295
Epoch 299 | Train Acc: 0.9999 | Test Acc: 0.9295
Epoch 300 | Train Acc: 0.9999 | Test Acc: 0.9297
Epoch 301 | Train Acc: 0.9999 | Test Acc: 0.9292
Epoch 302 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 303 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 304 | Train Acc: 0.9999 | Test Acc: 0.9295
Epoch 305 | Train Acc: 0.9999 | Test Acc: 0.9293
Epoch 306 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 307 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 308 | Train Acc: 0.9999 | Test Acc: 0.9295
Epoch 309 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 310 | Train Acc: 0.9999 | Test Acc: 0.9293
Epoch 311 | Train Acc: 0.9999 | Test Acc: 0.9295
Epoch 312 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 313 | Train Acc: 0.9999 | Test Acc: 0.9295
Epoch 314 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 315 | Train Acc: 0.9999 | Test Acc: 0.9293
Epoch 316 | Train Acc: 0.9999 | Test Acc: 0.9295
Epoch 317 | Train Acc: 0.9999 | Test Acc: 0.9295
Epoch 318 | Train Acc: 0.9999 | Test Acc: 0.9292
Epoch 319 | Train Acc: 0.9999 | Test Acc: 0.9292
Epoch 320 | Train Acc: 0.9999 | Test Acc: 0.9292
Epoch 321 | Train Acc: 0.9999 | Test Acc: 0.9293
Epoch 322 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 323 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 324 | Train Acc: 0.9999 | Test Acc: 0.9297
Epoch 325 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 326 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 327 | Train Acc: 0.9999 | Test Acc: 0.9299
Epoch 328 | Train Acc: 0.9999 | Test Acc: 0.9298
Epoch 329 | Train Acc: 0.9999 | Test Acc: 0.9297
Epoch 330 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 331 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 332 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 333 | Train Acc: 0.9999 | Test Acc: 0.9297
Epoch 334 | Train Acc: 0.9999 | Test Acc: 0.9297
Epoch 335 | Train Acc: 0.9999 | Test Acc: 0.9300
Epoch 336 | Train Acc: 0.9999 | Test Acc: 0.9297
Epoch 337 | Train Acc: 0.9999 | Test Acc: 0.9298
Epoch 338 | Train Acc: 0.9999 | Test Acc: 0.9298
Epoch 339 | Train Acc: 0.9999 | Test Acc: 0.9299
Epoch 340 | Train Acc: 0.9999 | Test Acc: 0.9294
Epoch 341 | Train Acc: 0.9999 | Test Acc: 0.9296
Epoch 342 | Train Acc: 0.9999 | Test Acc: 0.9300
Epoch 343 | Train Acc: 0.9999 | Test Acc: 0.9300
Epoch 344 | Train Acc: 0.9999 | Test Acc: 0.9302
Epoch 345 | Train Acc: 0.9999 | Test Acc: 0.9298
Epoch 346 | Train Acc: 0.9999 | Test Acc: 0.9300
Epoch 347 | Train Acc: 0.9999 | Test Acc: 0.9299
Epoch 348 | Train Acc: 0.9999 | Test Acc: 0.9300
Epoch 349 | Train Acc: 0.9999 | Test Acc: 0.9304
Epoch 350 | Train Acc: 0.9999 | Test Acc: 0.9303
Epoch 351 | Train Acc: 0.9999 | Test Acc: 0.9301
Epoch 352 | Train Acc: 0.9999 | Test Acc: 0.9301
Epoch 353 | Train Acc: 0.9999 | Test Acc: 0.9299
Epoch 354 | Train Acc: 0.9999 | Test Acc: 0.9301
Epoch 355 | Train Acc: 0.9999 | Test Acc: 0.9299
Epoch 356 | Train Acc: 0.9999 | Test Acc: 0.9302
Epoch 357 | Train Acc: 0.9999 | Test Acc: 0.9303
Epoch 358 | Train Acc: 0.9999 | Test Acc: 0.9304
Epoch 359 | Train Acc: 0.9999 | Test Acc: 0.9304
Epoch 360 | Train Acc: 0.9999 | Test Acc: 0.9304
Epoch 361 | Train Acc: 0.9999 | Test Acc: 0.9304
