Logging initialized in: mnist_mlp_sweep/alpha_1.5_g_0.25/GeneralMLP_LR0.001_BS1024_20260318_123412_s0
Overwriting weights with Heavy-Tailed Distribution (α=1.5, g=0.25)
Applying HT Init: alpha=1.5, g=0.25, seed=0
Epoch 180 | Train Acc: 0.3065 | Test Acc: 0.3042
Epoch 181 | Train Acc: 0.3100 | Test Acc: 0.3061
Epoch 182 | Train Acc: 0.3119 | Test Acc: 0.3085
Epoch 183 | Train Acc: 0.3155 | Test Acc: 0.3097
Epoch 184 | Train Acc: 0.3194 | Test Acc: 0.3178
Epoch 185 | Train Acc: 0.3236 | Test Acc: 0.3215
Epoch 186 | Train Acc: 0.3271 | Test Acc: 0.3307
Epoch 187 | Train Acc: 0.3311 | Test Acc: 0.3277
Epoch 188 | Train Acc: 0.3363 | Test Acc: 0.3390
Epoch 189 | Train Acc: 0.3409 | Test Acc: 0.3369
Epoch 190 | Train Acc: 0.3441 | Test Acc: 0.3436
Epoch 191 | Train Acc: 0.3466 | Test Acc: 0.3486
Epoch 192 | Train Acc: 0.3497 | Test Acc: 0.3523
Epoch 193 | Train Acc: 0.3538 | Test Acc: 0.3550
Epoch 194 | Train Acc: 0.3567 | Test Acc: 0.3529
Epoch 195 | Train Acc: 0.3587 | Test Acc: 0.3593
Epoch 196 | Train Acc: 0.3612 | Test Acc: 0.3625
Epoch 197 | Train Acc: 0.3619 | Test Acc: 0.3598
Epoch 198 | Train Acc: 0.3643 | Test Acc: 0.3582
Epoch 199 | Train Acc: 0.3658 | Test Acc: 0.3633
Epoch 200 | Train Acc: 0.3676 | Test Acc: 0.3641
Epoch 201 | Train Acc: 0.3688 | Test Acc: 0.3684
Epoch 202 | Train Acc: 0.3705 | Test Acc: 0.3663
Epoch 203 | Train Acc: 0.3714 | Test Acc: 0.3695
Epoch 204 | Train Acc: 0.3735 | Test Acc: 0.3686
Epoch 205 | Train Acc: 0.3743 | Test Acc: 0.3734
Epoch 206 | Train Acc: 0.3760 | Test Acc: 0.3726
Epoch 207 | Train Acc: 0.3776 | Test Acc: 0.3730
Epoch 208 | Train Acc: 0.3782 | Test Acc: 0.3752
Epoch 209 | Train Acc: 0.3795 | Test Acc: 0.3723
Epoch 210 | Train Acc: 0.3799 | Test Acc: 0.3759
Epoch 211 | Train Acc: 0.3808 | Test Acc: 0.3771
Epoch 212 | Train Acc: 0.3821 | Test Acc: 0.3790
Epoch 213 | Train Acc: 0.3834 | Test Acc: 0.3796
Epoch 214 | Train Acc: 0.3861 | Test Acc: 0.3839
Epoch 215 | Train Acc: 0.3969 | Test Acc: 0.3989
Epoch 216 | Train Acc: 0.4107 | Test Acc: 0.4115
Epoch 217 | Train Acc: 0.4164 | Test Acc: 0.4148
Epoch 218 | Train Acc: 0.4192 | Test Acc: 0.4166
Epoch 219 | Train Acc: 0.4221 | Test Acc: 0.4184
Epoch 220 | Train Acc: 0.4232 | Test Acc: 0.4203
Epoch 221 | Train Acc: 0.4254 | Test Acc: 0.4220
Epoch 222 | Train Acc: 0.4260 | Test Acc: 0.4246
Epoch 223 | Train Acc: 0.4284 | Test Acc: 0.4242
Epoch 224 | Train Acc: 0.4310 | Test Acc: 0.4277
Epoch 225 | Train Acc: 0.4328 | Test Acc: 0.4297
Epoch 226 | Train Acc: 0.4349 | Test Acc: 0.4304
Epoch 227 | Train Acc: 0.4370 | Test Acc: 0.4321
Epoch 228 | Train Acc: 0.4379 | Test Acc: 0.4329
Epoch 229 | Train Acc: 0.4393 | Test Acc: 0.4347
Epoch 230 | Train Acc: 0.4410 | Test Acc: 0.4357
Epoch 231 | Train Acc: 0.4431 | Test Acc: 0.4356
Epoch 232 | Train Acc: 0.4443 | Test Acc: 0.4392
Epoch 233 | Train Acc: 0.4462 | Test Acc: 0.4408
Epoch 234 | Train Acc: 0.4486 | Test Acc: 0.4405
Epoch 235 | Train Acc: 0.4503 | Test Acc: 0.4447
Epoch 236 | Train Acc: 0.4528 | Test Acc: 0.4464
Epoch 237 | Train Acc: 0.4564 | Test Acc: 0.4503
Epoch 238 | Train Acc: 0.4599 | Test Acc: 0.4556
Epoch 239 | Train Acc: 0.4638 | Test Acc: 0.4564
Epoch 240 | Train Acc: 0.4671 | Test Acc: 0.4614
Epoch 241 | Train Acc: 0.4701 | Test Acc: 0.4650
Epoch 242 | Train Acc: 0.4746 | Test Acc: 0.4661
Epoch 243 | Train Acc: 0.4784 | Test Acc: 0.4695
Epoch 244 | Train Acc: 0.4837 | Test Acc: 0.4770
Epoch 245 | Train Acc: 0.4915 | Test Acc: 0.4785
Epoch 246 | Train Acc: 0.4971 | Test Acc: 0.4901
Epoch 247 | Train Acc: 0.5064 | Test Acc: 0.4997
Epoch 248 | Train Acc: 0.5136 | Test Acc: 0.5017
Epoch 249 | Train Acc: 0.5186 | Test Acc: 0.5100
Epoch 250 | Train Acc: 0.5263 | Test Acc: 0.5191
Epoch 251 | Train Acc: 0.5323 | Test Acc: 0.5279
Epoch 252 | Train Acc: 0.5386 | Test Acc: 0.5325
Epoch 253 | Train Acc: 0.5422 | Test Acc: 0.5372
Epoch 254 | Train Acc: 0.5454 | Test Acc: 0.5406
Epoch 255 | Train Acc: 0.5475 | Test Acc: 0.5361
Epoch 256 | Train Acc: 0.5503 | Test Acc: 0.5359
Epoch 257 | Train Acc: 0.5522 | Test Acc: 0.5499
Epoch 258 | Train Acc: 0.5551 | Test Acc: 0.5508
Epoch 259 | Train Acc: 0.5565 | Test Acc: 0.5495
Epoch 260 | Train Acc: 0.5584 | Test Acc: 0.5557
Epoch 261 | Train Acc: 0.5612 | Test Acc: 0.5577
Epoch 262 | Train Acc: 0.5625 | Test Acc: 0.5579
Epoch 263 | Train Acc: 0.5651 | Test Acc: 0.5623
Epoch 264 | Train Acc: 0.5666 | Test Acc: 0.5636
Epoch 265 | Train Acc: 0.5681 | Test Acc: 0.5642
Epoch 266 | Train Acc: 0.5684 | Test Acc: 0.5658
Epoch 267 | Train Acc: 0.5692 | Test Acc: 0.5651
Epoch 268 | Train Acc: 0.5695 | Test Acc: 0.5693
Epoch 269 | Train Acc: 0.5693 | Test Acc: 0.5690
Epoch 270 | Train Acc: 0.5782 | Test Acc: 0.5711
Epoch 271 | Train Acc: 0.5832 | Test Acc: 0.5817
Epoch 272 | Train Acc: 0.5844 | Test Acc: 0.5776
Epoch 273 | Train Acc: 0.5853 | Test Acc: 0.5807
Epoch 274 | Train Acc: 0.5845 | Test Acc: 0.5866
Epoch 275 | Train Acc: 0.5849 | Test Acc: 0.5820
Epoch 276 | Train Acc: 0.5853 | Test Acc: 0.5774
Epoch 277 | Train Acc: 0.5859 | Test Acc: 0.5745
Epoch 278 | Train Acc: 0.5864 | Test Acc: 0.5782
Epoch 279 | Train Acc: 0.5863 | Test Acc: 0.5793
Epoch 280 | Train Acc: 0.5870 | Test Acc: 0.5786
Epoch 281 | Train Acc: 0.5873 | Test Acc: 0.5795
Epoch 282 | Train Acc: 0.5870 | Test Acc: 0.5804
Epoch 283 | Train Acc: 0.5879 | Test Acc: 0.5827
Epoch 284 | Train Acc: 0.5883 | Test Acc: 0.5834
Epoch 285 | Train Acc: 0.5882 | Test Acc: 0.5831
Epoch 286 | Train Acc: 0.5887 | Test Acc: 0.5845
Epoch 287 | Train Acc: 0.5885 | Test Acc: 0.5802
Epoch 288 | Train Acc: 0.5883 | Test Acc: 0.5841
Epoch 289 | Train Acc: 0.5905 | Test Acc: 0.5827
Epoch 290 | Train Acc: 0.5896 | Test Acc: 0.5839
Epoch 291 | Train Acc: 0.5900 | Test Acc: 0.5858
Epoch 292 | Train Acc: 0.5889 | Test Acc: 0.5822
Epoch 293 | Train Acc: 0.5903 | Test Acc: 0.5838
Epoch 294 | Train Acc: 0.5915 | Test Acc: 0.5820
Epoch 295 | Train Acc: 0.5913 | Test Acc: 0.5827
Epoch 296 | Train Acc: 0.5917 | Test Acc: 0.5856
Epoch 297 | Train Acc: 0.5919 | Test Acc: 0.5846
