Logging initialized in: training_runs/mnist_mlp_sweep/alpha_1.2_g_1.0/GeneralMLP_LR0.001_BS1024_20260427_193210_s4
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=1.0)
Applying HT Init: alpha=1.2, g=1.0, seed=4
Epoch 248 | Train Acc: 0.8330 | Test Acc: 0.8215
Epoch 249 | Train Acc: 0.8319 | Test Acc: 0.8110
Epoch 250 | Train Acc: 0.8332 | Test Acc: 0.8229
Epoch 251 | Train Acc: 0.8334 | Test Acc: 0.8173
Epoch 252 | Train Acc: 0.8337 | Test Acc: 0.8162
Epoch 253 | Train Acc: 0.8353 | Test Acc: 0.8195
Epoch 254 | Train Acc: 0.8339 | Test Acc: 0.8475
Epoch 255 | Train Acc: 0.8318 | Test Acc: 0.8235
Epoch 256 | Train Acc: 0.8346 | Test Acc: 0.8252
Epoch 257 | Train Acc: 0.8368 | Test Acc: 0.8460
Epoch 258 | Train Acc: 0.8386 | Test Acc: 0.8361
Epoch 259 | Train Acc: 0.8426 | Test Acc: 0.8269
Epoch 260 | Train Acc: 0.8360 | Test Acc: 0.8197
Epoch 261 | Train Acc: 0.8387 | Test Acc: 0.8467
Epoch 262 | Train Acc: 0.8405 | Test Acc: 0.8289
Epoch 263 | Train Acc: 0.8400 | Test Acc: 0.8260
Epoch 264 | Train Acc: 0.8437 | Test Acc: 0.8305
Epoch 265 | Train Acc: 0.8561 | Test Acc: 0.8445
Epoch 266 | Train Acc: 0.8397 | Test Acc: 0.8480
Epoch 267 | Train Acc: 0.8587 | Test Acc: 0.8403
Epoch 268 | Train Acc: 0.8616 | Test Acc: 0.8623
Epoch 269 | Train Acc: 0.8666 | Test Acc: 0.8557
Epoch 270 | Train Acc: 0.8706 | Test Acc: 0.8473
Epoch 271 | Train Acc: 0.8793 | Test Acc: 0.8652
Epoch 272 | Train Acc: 0.8748 | Test Acc: 0.8576
Epoch 273 | Train Acc: 0.8788 | Test Acc: 0.8753
Epoch 274 | Train Acc: 0.8839 | Test Acc: 0.8710
Epoch 275 | Train Acc: 0.8819 | Test Acc: 0.8696
Epoch 276 | Train Acc: 0.8855 | Test Acc: 0.8740
Epoch 277 | Train Acc: 0.8926 | Test Acc: 0.8873
Epoch 278 | Train Acc: 0.8949 | Test Acc: 0.8881
Epoch 279 | Train Acc: 0.9002 | Test Acc: 0.8857
Epoch 280 | Train Acc: 0.8877 | Test Acc: 0.8850
Epoch 281 | Train Acc: 0.9015 | Test Acc: 0.8847
Epoch 282 | Train Acc: 0.9026 | Test Acc: 0.8721
Epoch 283 | Train Acc: 0.8944 | Test Acc: 0.8932
Epoch 284 | Train Acc: 0.9094 | Test Acc: 0.8979
